City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Katsuura,JP,68.04,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
4,Constitucion,CL,51.3,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
7,Port Alfred,ZA,65.64,overcast clouds,-33.5906,26.891,The Halyards Hotel
17,Rikitea,PF,69.22,moderate rain,-23.1203,-134.9692,People ThankYou
20,Adeje,ES,68.02,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
21,Buraydah,SA,63.05,clear sky,26.326,43.975,فندق راحة السلام
24,Asau,RO,55.4,broken clouds,46.4333,26.4,Casa Mika Ciobanus
35,Busselton,AU,65.05,broken clouds,-33.65,115.3333,Observatory Guest House
38,Lompoc,US,69.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
40,Cape Town,ZA,61.27,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Eureka,US,52.63,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
42,East London,ZA,65.34,mist,-33.0153,27.9116,Tu Casa
44,Mataura,NZ,59.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
46,Sungurlu,TR,51.55,clear sky,40.1675,34.3739,Sungurlu Ogretmenevi
48,Kanye,BW,67.87,clear sky,-24.9667,25.3327,The Savanna Lodge
57,Kalaleh,IR,56.8,broken clouds,37.3807,55.4916,عطر و ادکلن پارسیس
60,Qingdao,CN,67.6,clear sky,36.0986,120.3719,东晖国际大酒店餐厅
65,Makueni,KE,64.67,light rain,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
69,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
75,Hermanus,ZA,58.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
76,Cidreira,BR,68.63,broken clouds,-30.1811,-50.2056,Hotel Castelo
77,Bredasdorp,ZA,58.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
83,Asyut,EG,66.56,clear sky,27.181,31.1837,Florence Hotel Assiut
85,Tacuarembo,UY,62.89,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
89,Guerrero Negro,MX,64.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
93,Naron,ES,51.04,broken clouds,43.5167,-8.1528,Marcial
95,Puerto Ayora,EC,68.7,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Sayan,PE,66.87,broken clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
106,Tabas,IR,58.86,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
107,Kruisfontein,ZA,57.25,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
108,Camacha,PT,61.56,light intensity drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
109,Nayoro,JP,50.67,broken clouds,44.3506,142.4578,名寄 大雪荘
110,Mar Del Plata,AR,57.22,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
116,Rawson,AR,55.96,clear sky,-43.3002,-65.1023,Hosteria Sampedro
118,Shimoda,JP,66.56,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
119,Talkha,EG,65.43,clear sky,31.0539,31.3779,Almadiafah
122,Zarubino,RU,52.9,few clouds,42.63,131.0922,Okean
128,Kalemie,CD,68.14,clear sky,-5.9475,29.1947,Mahobilali
129,Castro,BR,61.84,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
130,Sao Joao Da Barra,BR,69.13,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
131,Chuy,UY,66.36,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
136,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
137,Silifke,TR,67.17,clear sky,36.3778,33.9344,Ayatekla Hotel
143,Guozhen,CN,61.68,broken clouds,34.3659,107.359,Yucai Hotel
144,Ulladulla,AU,67.1,light rain,-35.35,150.4667,Sandpiper Motel
152,Ahipara,NZ,61.14,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
156,Lakes Entrance,AU,69.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
158,Buwenge,UG,61.79,few clouds,0.6422,33.1744,Gads Kentm
162,Canberra,AU,62.58,broken clouds,-35.2835,149.1281,Novotel Canberra
167,Fortuna,US,52.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
168,Trelew,AR,56.86,clear sky,-43.249,-65.3051,Hotel Touring Club
169,Ponta Do Sol,PT,66.7,broken clouds,32.6667,-17.1,Hotel do Campo
172,Faya,SA,55.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
177,Hualmay,PE,63.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
185,Javanrud,IR,51.44,clear sky,34.7961,46.5172,Bonnie power
187,Elizabeth City,US,53.65,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
190,Manjacaze,MZ,69.67,overcast clouds,-24.7117,33.8828,Hotel Gani
191,Namibe,AO,65.43,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
198,Malanje,AO,63.23,overcast clouds,-9.5402,16.341,Malanje Hotel
201,Sayyan,YE,53.01,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
208,Nouadhibou,MR,68.59,broken clouds,20.931,-17.0347,El Medina
209,Linqiong,CN,64.22,scattered clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
212,Bluff,NZ,59.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
213,Dunedin,NZ,56.82,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
215,Nara,JP,69.04,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
216,Kaitangata,NZ,55.98,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
223,Houma,US,57.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
227,Chicama,PE,64.38,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
228,Casablanca,MA,51.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
230,Saint George,US,67.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
231,Changli,CN,65.52,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
236,Santa Fe,AR,65.01,moderate rain,-31.6333,-60.7,Conquistador Hotel
251,Acari,PE,66.02,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
253,Te Anau,NZ,67.46,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
255,San Patricio,US,58.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Narrabri,AU,68.09,overcast clouds,-30.3167,149.7833,Crossroads Hotel
262,Xichang,CN,64.13,clear sky,27.8964,102.2634,Xichang ibis Hotel
267,Lebu,CL,50.47,clear sky,-37.6167,-73.65,Hostal Las Lilas
270,Hendrina,ZA,61.27,clear sky,-26.1588,29.7153,Macrest
273,Pinhao,BR,59.23,overcast clouds,-25.6956,-51.6597,Pinhão Park Hotel
275,Nantucket,US,50.11,overcast clouds,41.2835,-70.0995,Jared Coffin House
277,Koroni,GR,67.06,overcast clouds,36.8,21.95,Apartments Xenios Zeus 1
281,Muswellbrook,AU,61.66,light rain,-32.2667,150.9,Wayfarer Motel
282,Port Macquarie,AU,69.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
287,Laguna,US,60.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
291,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
292,Waipawa,NZ,55.02,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
293,Paraiso,CR,65.88,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
302,Devonport,AU,67.78,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
308,Tuatapere,NZ,59.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
311,Esperance,AU,67.84,broken clouds,-33.8667,121.9,Hospitality Esperance
318,Luena,AO,61.83,overcast clouds,-11.7833,19.9167,Hotel Kandamba
332,Vila Franca Do Campo,PT,67.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
342,Rocha,UY,65.39,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
355,Jumla,NP,56.8,clear sky,29.2747,82.1838,Royal Garden Hotel
357,Christchurch,NZ,60.94,broken clouds,-43.5333,172.6333,The George
358,Hayden,US,50.56,moderate rain,47.766,-116.7866,Triple Play Resort Hotel & Suites
361,Gongzhuling,CN,60.46,clear sky,43.5008,124.8198,如家旅馆
371,Fukue,JP,68.36,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
374,Hokitika,NZ,60.04,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
377,Birjand,IR,50.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
381,Corpus Christi,US,57.6,overcast clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
399,Wajima,JP,59.68,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
418,Belle Fourche,US,66.54,overcast clouds,44.6714,-103.8522,Kings Inn
421,Peniche,PT,54.63,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
427,Lubango,AO,66.13,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
438,Toyooka,JP,66.31,broken clouds,35.5333,134.8333,O Hotel Toyooka
441,Los Altos,US,58.98,clear sky,37.3852,-122.1141,Residence Inn by Marriott Palo Alto Mountain View
447,San Jose,US,59.25,clear sky,37.3394,-121.895,The Westin San Jose
452,Pafos,CY,62.38,clear sky,34.7667,32.4167,Elysium Hotel
454,Khani,GE,56.77,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
455,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Punto de encuentro
457,Barrhead,GB,50.05,broken clouds,55.7992,-4.3929,The Gleniffer
462,Bileca,BA,64.49,overcast clouds,42.8719,18.4297,Hotel Dijamant
464,Santa Maria,BR,65.35,clear sky,-29.6842,-53.8069,Hotel Morotin
465,Praia Da Vitoria,PT,68.76,broken clouds,38.7333,-27.0667,Hotel Branco I
469,Elat,IL,66.04,clear sky,29.5581,34.9482,Club Hotel Eilat
474,Russell,US,51.96,overcast clouds,32.3502,-85.1999,Macs
476,Nyakahanga,TZ,60.55,broken clouds,-1.6033,31.1414,Tindamanyire Guest House
482,Parral,MX,53.8,clear sky,26.9333,-105.6667,HOTEL LOS ARCOS PARRAL
485,Portland,US,52.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
486,Los Llanos De Aridane,ES,65.12,overcast clouds,28.6585,-17.9182,Valle Aridane
487,Kutum,SD,69.6,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
492,Kiama,AU,67.48,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
495,Maple Creek,CA,57.25,overcast clouds,49.9168,-109.4848,Willowbend Campground & Cabins
512,Melong,CM,67.06,overcast clouds,5.1218,9.9614,Hôtel de melong
513,Pingliang,CN,52.54,broken clouds,35.5392,106.6861,North Gate Hostel
515,Rawlins,US,52.02,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
517,Mutoko,ZW,69.21,few clouds,-17.397,32.2268,Mutoko Hotel
525,Ravar,IR,61.72,broken clouds,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
529,Chase,CA,51.15,light rain,50.8165,-119.6857,Chase Country Inn Motel
531,Heishan,CN,65.5,clear sky,41.6892,122.1128,Heishan Hotel
540,Bayir,TR,50.52,overcast clouds,37.2687,28.2167,Hotel Babadag
544,Yining,CN,65.82,light rain,29.0361,114.5636,Xiushui Hotel
545,Plettenberg Bay,ZA,61.75,broken clouds,-34.0527,23.3716,Thanda Vista B&B
552,Huarmey,PE,63.84,overcast clouds,-10.0681,-78.1522,Hotel Miramar
564,Yokadouma,CM,69.85,overcast clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
567,Mizan Teferi,ET,68.36,few clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
571,Chancay,PE,65.32,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
572,Qena,EG,66.31,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
573,Warrnambool,AU,65.5,scattered clouds,-38.3833,142.4833,Lady Bay Resort
579,Arona,ES,63.75,overcast clouds,28.0996,-16.681,Paradise Court
581,Metu,ET,60.28,clear sky,8.3,35.5833,Darfn hotel
582,Sao Francisco De Assis,BR,67.84,clear sky,-29.5503,-55.1311,Hotel Aguiar
585,San Quintin,MX,63.57,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
586,Xianshuigu,CN,50.0,mist,38.985,117.3828,Guangchuan Hotel
600,Gostovici,BA,52.68,overcast clouds,44.415,18.1583,A giant Stone Sphere
601,Huanuco,PE,64.49,overcast clouds,-9.9329,-76.2415,Sweet Dreams
607,Naini Tal,IN,55.69,clear sky,29.3974,79.4469,"The Naini Retreat, Nainital"
613,Concordia,AR,69.22,moderate rain,-31.393,-58.0209,Palmar Hotel Casino
617,Hasaki,JP,68.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
638,San Rafael,AR,53.31,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
639,Jingdezhen,CN,65.57,overcast clouds,29.2947,117.2079,Garden Hotel
651,Lambari,BR,66.36,clear sky,-21.9756,-45.3503,Summit Lago Hotel
653,Lithgow,AU,60.08,light rain,-33.4833,150.15,Zig Zag Motel Lithgow
658,Kaeo,NZ,64.33,overcast clouds,-35.1,173.7833,Bushido Lodge
665,Mubende,UG,62.8,broken clouds,0.5606,31.39,Nakayima Hotel
668,Huilong,CN,67.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
669,Lima,PE,63.9,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
673,Chifeng,CN,60.98,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
680,Camana,PE,63.97,broken clouds,-16.6228,-72.7111,Hostal Morales
